Model Number,Model Name,Color,Connectivity,OS,Operating System Version,RAM,Voice Call,Display Size,Sales Package,Display Resolution,Primary Camera,Internal Storage,Processor Speed,Sim Type,Warranty Summary,Display Resolution Type,Display Supported Network,Processor Type,Series,Additional Features,Sim Size,Multi-touch,Sensors,ROM,Battery Capacity,Document Viewer,E-mail,Secondary Camera,Video Recording Resolution,Video Recording,Full HD Recording,HD Recording,Flash,Other Camera Features,2G,3G,Edge,GPRS,Bluetooth Version,USB,Browser,Headphone Jack,Wi-fi Version,Other Connectivity Features,Other Display Features,Display Type,Video Formats Supported,Full HD Playback,HD Playback,Video Playback,Audio Formats Supported,GPS Support,GPS Type,Map Support,Expandable Storage Capacity,Memory Card Slot Type,Memory Card Support,Warranty,Warranty Service Type,Domestic Warranty,Covered in Warranty,Not Covered in Warranty,Warranty Period,Supported Network,Battery Type,Touch Screen Type,Display PPI,Battery Features,RAM Type,Digital Zoom,MRP Price,Discount,Discounted_price,Brand
MYLD2HN/A,iPad (8th Gen),Space Grey,Wi-Fi Only,iPadOS,iPadOS 14 brings new capabilities designed specifically for iPad,,No,25.91 cm (10.2 inch),"iPad, Lightning to USB Type C Cable, USB Type C Power Adapter",2160 x 1620 Pixels,"8MP back camera, 1.2MP FaceTime HD front camera megapixels",128 GB,,No Sim,1 Year Limited Hardware Warranty,Full HD,,A12 Bionic chip with Neural Engine,,"Stereo Speakers, Audio and Video Calling (FaceTime Video): iPad to Any FaceTime Enabled Device Over Wi-Fi or Cellular, Dual Microphones for Calls, Video Recording and Audio Recording, Digital Compass, iBeacon Micro Location, Accessibility Features: Voice Control, Magnifier, Closed Captions, VoiceOver, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen",,Yes,"Touch ID, Three‐axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",128 GB,,Yes,Yes,1.2 Megapixels,"720P, 1080P pixels",Yes,Yes,Yes,Retina Flash,"Rear Camera: 8 MP Rear Camera Setup, f/2/4 Aperture, Five Element Lens, Hybrid IR Flter, Backside Illumination, Live Photos, Autofocus, Panorama (Upto 43MP), HDR for Photos, Exposure Control, Burst Mode, Tap to Focus, Timer Mode, Auto Image Stabilisation, Body and Face Detection, Photo Geotagging, Video Recording: Time-lapse Video with Stabilisation, Video Image Stabilisation, Body and Face Detection, 3x Video Zoom, Video Geotagging, Front Camera: 1.2MP Selfie Camera, f/2.4 Aperture, Retina Flash, Backside Illumination, Live Photos, 720p HD Video Recording, HDR for Photos and Videos, Body and Face Detection, Burst Mode, Exposure Control, Timer Mode",No,No,,,v4.2,"Yes, Lightning Connector",Safari,,802.11a/b/g/n/ac,"Simultaneous Dual Band (2.4 GHz and 5 GHz) Support, HT80 with MIMO","Full HD+ LED Backlit Multi Touch IPS Display (500 nits Brightness, Fingerprint-resistant Oleophobic Coating, Supports Apple Pencil (1st Gen))",IPS,"Video Formats Supported: H.264 Video Upto 4K, 30 fps, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, MPEG‑4 Video Upto 2.5 Mbps, 640x480 Pixels, 30 fps, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280x720 Pixels, 30 fps, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"Audio Formats Supported: AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",No,,Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,,264 PPI,,,,"45,000",33%,"29,999",APPLE
82AT00DCIN,Tab Ideapad Duet 3 with Bluetooth Keyboard and Digital Pen,Grey,Wi-Fi Only,Windows,10,4 GB,No,26.16 cm (10.3 inches),"Tablet, Bluetooth Keyboard, Digital Pen, Battery, Manual, Powercord, Adapter",1920 x 1200 Pixels,5 Megapixels,128 GB,2.8 GHz,No Sim,1 Year Warranty,,,Intel Celeron N4020 Processor,Ideapad Duet 3,"2 x 1 W Speakers with Dolby Audio, Dual Microphone, Folio Keyboard, Cortana, Lenovo 530 Wireless Mouse, Lenovo 100 In-Ear Headphone, Lenovo USB-C 3-in-1 Hub, 2400 Ram,",No SIM,10 Finger Multi-Touch,,128 GB,6000 mAH,Yes,Yes,2 Megapixels,,,,,,,,,,,v5.0,"1 x USB Type-C, 2 x USB 3.23 Gen 1 (Type-C), 5 Gbps (USB + DisplayPort 3 + PD), Audio Jack",Chrome,,(2x2) WiFi 5 (802.11 ac),,"Wide Ultra Extended Graphics Array (340 nits, 96% sRGB)",Wide Ultra Extended Graphics Array,,,,,,,,,256 GB,MicroSD Card,Yes,,,1 Year,Device,,,4G LTE,Lithium Polymer,,,30 WH,DDR4,,"29,900",No-discount,"29,900",Lenovo
MYL92HN/A,iPad (8th Gen),Space Grey,Wi-Fi Only,iPadOS,iPadOS 14 brings new capabilities designed specifically for iPad,,No,25.91 cm (10.2 inch),"iPad, Lightning to USB Type C Cable, USB Type C Power Adapter",2160 x 1620 Pixels,"8MP back camera, 1.2MP FaceTime HD front camera megapixels",32 GB,,No Sim,1 Year Limited Hardware Warranty,Full HD,,A12 Bionic chip with Neural Engine,,"Stereo Speakers, Audio and Video Calling (FaceTime Video): iPad to Any FaceTime Enabled Device Over Wi-Fi or Cellular, Dual Microphones for Calls, Video Recording and Audio Recording, Digital Compass, iBeacon Micro Location, Accessibility Features: Voice Control, Magnifier, Closed Captions, VoiceOver, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen",,Yes,"Touch ID, Three‐axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",32 GB,,Yes,Yes,1.2 Megapixels,"720P, 1080P pixels",Yes,Yes,Yes,Retina Flash,"Rear Camera: 8 MP Rear Camera Setup, f/2/4 Aperture, Five Element Lens, Hybrid IR Flter, Backside Illumination, Live Photos, Autofocus, Panorama (Upto 43MP), HDR for Photos, Exposure Control, Burst Mode, Tap to Focus, Timer Mode, Auto Image Stabilisation, Body and Face Detection, Photo Geotagging, Video Recording: Time-lapse Video with Stabilisation, Video Image Stabilisation, Body and Face Detection, 3x Video Zoom, Video Geotagging, Front Camera: 1.2MP Selfie Camera, f/2.4 Aperture, Retina Flash, Backside Illumination, Live Photos, 720p HD Video Recording, HDR for Photos and Videos, Body and Face Detection, Burst Mode, Exposure Control, Timer Mode",No,No,,,v4.2,"Yes, Lightning Connector",Safari,,802.11a/b/g/n/ac,"Simultaneous Dual Band (2.4 GHz and 5 GHz) Support, HT80 with MIMO","Full HD+ LED Backlit Multi Touch IPS Display (500 nits Brightness, Fingerprint-resistant Oleophobic Coating, Supports Apple Pencil (1st Gen))",IPS,"Video Formats Supported: H.264 Video Upto 4K, 30 fps, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, MPEG‑4 Video Upto 2.5 Mbps, 640x480 Pixels, 30 fps, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280x720 Pixels, 30 fps, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"Audio Formats Supported: AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",No,,Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,,264 PPI,,,,"39,000",39%,"23,499",APPLE
ZA8J0003IN,M10 FHD Plus (2nd Gen) with Active Pen,Platinum Grey,Wi-Fi+4G,Android,9 Pie,4 GB,Yes,26.16 cm (10.3 inches),"Tablet, 5V/2A Adapter, USB Type-C 2.0, Quick Start Guide, User Guide, Stylus Pen",1920 x 1200 Pixels,8 Megapixels,128 GB,2.3 GHz,Single Sim,1 Year Warranty,,"GSM: Bands 2/3/5/8, WCDMA: Bands 1/2/3/5(6/19)/8, FDD LTE: Bands 1/2/3/4/5(19)/7/8/20, TDD LTE: Bands 38/40",MediaTek Helio P22T Tab Octa-Core (4 x A53),M10 FHD Plus,,Nano SIM,10 Point Multi-Touch,"G-Sensor Vibrator, Hall Sensor P-Sensor, L-Sensor Gyroscope",128 GB,5000 mAH,Yes,Yes,5 Megapixels,,,,,,Auto-Focus,,,,,,1 x USB Type-CTM 2.04,,,802.11 a/b/g/n/ac 2.4 GHz and 5 GHz Dual Band,"WiFi Direct, GPS, Beidou, A-GPS, FM Radio, GLONASS","Full HD + TDDI Direct Bonding IPS Display (330 nits Brightness, 70.3% NTSC Color Gamut)",Full HD TDDI,,,,,,,,,256 GB,MicroSD Card,,,,,,,,4G LTE,,,220 ppi,5000,LPDDR4x-3200,,"9,900",19%,"7,999",Lenovo
MHQR3HN/A,iPad Pro 2021 (3rd Generation),Space Grey,Wi-Fi Only,iPadOS,14,8 GB,No,27.94 cm (11 inches),"iPad Pro, USB-C Charge Cable (1 metre), 20W USB-C Power Adapter",2388 x 1668 Pixels,12 Megapixels,128 GB,,No Sim,1 Year Warranty,Quad HD,,,,"FaceTime Video, Centre Stage, iPad to any FaceTime-Enabled Device over Wi-Fi or Cellular, FaceTime Audio, Four Speaker Audio, Five Studio-Quality Microphones for calls, Video Recording and Audio Recording, Enabled by TrueDepth Camera for Facial Recognition, Unlock iPad, Secure Personal Data within Apps, Make purchases from the iTunes Store and the App Store, Use your voice to Send Messages, Set Reminders and more, Get Proactive Suggestions, Use Hands-Free, Listen to and identify Songs, Built-in 28.65-Watt-Hour Rechargeable Battery, VoiceOver, Magnifier, Closed Captions, Voice Control, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen, Apple Pencil, Magic Keyboard, Next Level Performance",,Yes,"Face ID Sensor, LiDAR Scanner Sensor, Three-Axis Gyro Sensor, Accelerometer Sensor, Barometer Sensor, Ambient Light Sensor",128 GB,,Yes,Yes,12 Megapixels,,Yes,Yes,Yes,Rear Camera - Brighter True Tone flash | Front Camera - Retina Flash,"Pro Camera System: Wide and Ultra Wide cameras, Wide: 12MP, f/1.8 Aperture, Ultra Wide: 10MP, f/2.4 Aperture and 125 degree Field of view, 2x Optical Zoom out, Digital Zoom up to 5x, Five-Element Lens (Wide and Ultra Wide), Brighter True Tone flash, Panorama (up to 63MP), Sapphire Crystal Lens Cover, Autofocus with Focus Pixels (Wide), Smart HDR 3, Wide Colour Capture for Photos and Live Photos, Lens Correction (Ultra Wide), Advanced Red-Eye Correction, Photo Geotagging, Auto Image Stabilisation, Burst mode, Image Formats Captured: HEIF and JPEG, 12MP Ultra Wide camera, 122 degree field of view, f/2.4 aperture, Portrait mode with advanced bokeh and Depth Control, Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High-Key Mono), Animoji and Memoji, Smart HDR 3, 1080p HD video recording at 25 fps, 30 fps or 60 fps, Time-lapse video with stabilisation, Extended dynamic range for video up to 30 fps, Cinematic video stabilisation (1080p and 720p), Wide colour capture for photos and Live Photos, Lens correction, Retina Flash, Auto image stabilisation, Burst mode",,,,,v5.0,Type C USB,,,802.11 ax (2.4 GHz | 5 GHz) Wi-Fi 6,HT80 with MIMO,"LED Backlit Multi-touch IPS Display, Promotion Technology, Wide Color Display, True Tone Display, Fully Laminated Display, Antireflective Coating, Fingerprint-resistant Oleophobic Coating",Liquid�Retina�Display,"HEVC, H.264, MPEG-4 Part 2, Motion JPEG, HDR with Dolby Vision, HDR10 and HLG",Yes,Yes,Yes,"AAC-LC, HE-AAC, HE-AAC v2, Protected AAC, MP3, Linear PCM, Apple Lossless, FLAC, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Dolby Atmos and Audible (formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Spatial Audio Playback, User-Con?gurable Maximum Volume Limit",,,Maps,,,,1 Year,,,,,1 Year,,Lithium Polymer,Multi-Touch,264 PPI,"Up to 10 hours of Surfing the Web on Wi-Fi or Watching Video, Charging Via Power Adapter or USB-C to Computer System",,Yes,,,,Lenovo
ZA570127IN,Tab M7,Iron Grey,Wi-Fi+4G,Android,9 Pie (Go Edition),1 GB,Yes,17.78 cm (7 inches),"Tablet, Travel Adapter, USB Cable, Quick Start Guide, Warranty Card",1024 x 600 Pixels,2 Megapixels,16 GB,1.3 GHz,No Sim,1 Year Warranty,HD,"WLAN, Bluetooth, Wi-fi Direct, Wi-fi Display",MediaTek MT8765 Quad Core (4 x A53),Tab M7 Series,"Single Front Speaker with Dolby Atmos, Pre-Installed Softwares : Google Photos, Google Calendar, Google Play Movies & Amp; TV (Android P only), Gmail / Gmail GO, YouTube / YouTube Go, Netflix (Android P Only, Except RU)",Nano SIM,5-Point Multi-Touch,Accelerometer (G) Sensor,16 GB,3500 mAh,Yes,Yes,2 Megapixels,,,,,,,,,,,v4.2,"Yes, Micro USB 2.0",Chrome,3.5 mm,11a/b/g/n (1x1),,,IPS,,,,,,,,Yes,128 GB,microSD,Yes,,,,,,,"GSM, 4G LTE, WCDMA",,,,3500,LPDDR3,,,,,Lenovo
ZA5G0176IN,M8 HD (2nd Gen),Grey,Wi-Fi Only,Android,9 Pie,3 GB,No,20.32 cm (8 inches),"Tablet, Travel Adapter (5V/1A), Cable, Quick-Start Guide, Warranty Card",1280 x 800 Pixels,8 Megapixels,32 GB,2 GHz,No Sim,1 Year Warranty,,"WLAN, Bluetooth, Wi-fi Direct, Wi-fi Display","MediaTek Helio A22 (4 Cores, 4 x A53 at 2.0 GHz)",M8,,,10-Point Multi-Touch,"Accelerometer (G) Sensor, Ambient Light Sensor (ALS), Proximity Sensor",32 GB,5000 mAH,Yes,Yes,2 Megapixels,,,,,,,,,,,v5.0,1 x Micro USB 2.0,Chrome,,11a/b/g/n/ac (1x1),,,IPS Display,,,,,,,,,128 GB,MicroSD Card,Yes,,,1 Year,Device,,,,,,,5000 mAH,LPDDR3,,,,,Maplin
M4 Pro,M4 Pro,Dazzling Black,,,,4 GB,,16.59 cm (6.53 inch),,,13MP + 0MP,64 GB,,,6 Month Repair warranty,,,Snapdragon,M4 pro,,,,"G-Sensor, light Sensor, fingerprint sensor",,5000 mAh,,,13MP Front Camera,1920 x 1080,Yes,Yes,Yes,Yes,,,Yes,,Yes,4.24,,"Chrome, Internet Explorer",,,,Full Display Comes with Free Screen Guard and Back Cover,Amoled IPS,,,,,,Yes,Enabled,Google,,Dedicated Slot,,,Repair,6 Months,Mobile Phone,Accessories,,,Li-Polymer,,,,,Yes,,,,Maplin
M4 Pro,M4 Pro,Gliter Blue,,,,4 GB,,16.59 cm (6.53 inch),,,13MP + 0MP,64 GB,,,6 Month Repair warranty,,,Snapdragon,M4 pro,,,,"G-Sensor, light Sensor, fingerprint sensor",,5000 mAh,,,13MP Front Camera,1920 x 1080,Yes,Yes,Yes,Yes,,,Yes,,Yes,4.24,,"Chrome, Internet Explorer",,,,Full Display Comes with Free Screen Guard and Back Cover,Amoled IPS,,,,,,Yes,Enabled,Google,,Dedicated Slot,,,Repair,6 Months,Mobile Phone,Accessories,,,Li-Polymer,,,,,Yes,,,,Maplin
Max-5G,Max-5G,Mighty Black,,,,4 GB,,16.59 cm (6.53 inch),,,13MP + 0MP,64 GB,,,6 Month warranty,,,Snapdragon,Max4,,,,"G-Sensor, light Sensor, proximity Sensor, fingerprint sensor",,5000 mAh,,,13MP Front Camera,1920 x 1080,Yes,Yes,Yes,Yes,,,Yes,,Yes,4.2,,"Chrome, Internet Explorer",,,,Full Display Comes with Free Scvreen Guard and Back Cover,IPS,,,,,,Yes,Enabled,Google,,Dedicated Slot,,,Repair,6 Months,mobile,Accessories,,,Li-Polymer,,,,,Yes,,,,HP
11a-na0006MU,,Snow White,,,,4 GB,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,1 Year Onsite Warranty,,,,Chromebook,"37 Wh Li-ion Polymer, H1 Secure Microcontroller, 100 GB Google One (1-year Subscription Included), Google Assistant (Hands Free Virtual Assistant), Google Play Store with Millions of Android Apps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onsite,1 Year,Manufacturing Defects,Physical Damage,,,,,,,LPDDR4X,,,,,OPPO
CPH2263,A74 5G,Fluid Black,,,,4 GB,,16.48 cm (6.49 inch),,,48MP Rear Camera,128 GB,,,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,,,,,,,,,,5000 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated Slot,,,,,,,,,,,,,,,,,,APPLE
MYLA2HN/A,iPad (8th Gen),Silver,Wi-Fi Only,iPadOS,iPadOS 14 brings new capabilities designed specifically for iPad,,No,25.91 cm (10.2 inch),"iPad, Lightning to USB Type C Cable, USB Type C Power Adapter",2160 x 1620 Pixels,"8MP back camera, 1.2MP FaceTime HD front camera megapixels",32 GB,,No Sim,1 Year Limited Hardware Warranty,Full HD,,A12 Bionic chip with Neural Engine,,"Stereo Speakers, Audio and Video Calling (FaceTime Video): iPad to Any FaceTime Enabled Device Over Wi-Fi or Cellular, Dual Microphones for Calls, Video Recording and Audio Recording, Digital Compass, iBeacon Micro Location, Accessibility Features: Voice Control, Magnifier, Closed Captions, VoiceOver, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen",,Yes,"Touch ID, Three‐axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",32 GB,,Yes,Yes,1.2 Megapixels,"720P, 1080P pixels",Yes,Yes,Yes,Retina Flash,"Rear Camera: 8 MP Rear Camera Setup, f/2/4 Aperture, Five Element Lens, Hybrid IR Flter, Backside Illumination, Live Photos, Autofocus, Panorama (Upto 43MP), HDR for Photos, Exposure Control, Burst Mode, Tap to Focus, Timer Mode, Auto Image Stabilisation, Body and Face Detection, Photo Geotagging, Video Recording: Time-lapse Video with Stabilisation, Video Image Stabilisation, Body and Face Detection, 3x Video Zoom, Video Geotagging, Front Camera: 1.2MP Selfie Camera, f/2.4 Aperture, Retina Flash, Backside Illumination, Live Photos, 720p HD Video Recording, HDR for Photos and Videos, Body and Face Detection, Burst Mode, Exposure Control, Timer Mode",No,No,,,v4.2,"Yes, Lightning Connector",Safari,,802.11a/b/g/n/ac,"Simultaneous Dual Band (2.4 GHz and 5 GHz) Support, HT80 with MIMO","Full HD+ LED Backlit Multi Touch IPS Display (500 nits Brightness, Fingerprint-resistant Oleophobic Coating, Supports Apple Pencil (1st Gen))",IPS,"Video Formats Supported: H.264 Video Upto 4K, 30 fps, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, MPEG‑4 Video Upto 2.5 Mbps, 640x480 Pixels, 30 fps, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280x720 Pixels, 30 fps, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"Audio Formats Supported: AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",No,,Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,,264 PPI,,,,,,,I kall
N13,N13,Black,4G,Android,Android 9.0 Pie,2 GB,Yes,17.78 cm (7 inch),"Tablet,Charging Adapter,USB Cable and User Manual",600 x 1024$$pixel pixels,5 megapixels,16 GB,1.3 GHz,Dual Sim,1 Year Warranty Against Manufacturing Defects,,,,,,,,,,4000 mAh,,,2 megapixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4G VoLTE,,,,,,,,,,Tecno
KF6j,Spark 7,Morpheus Blue,,,,3 GB,,16.51 cm (6.5 inch),,,16MP Rear Camera,64 GB,,,12 MONTHS Company Warranty,,,,,,,,,,6000 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated Slot,,,,,,,,,,,,,,,,,,APPLE
MUQW2HN/A,ipad Mini (2019),Space Grey,Wi-Fi Only,iOS,12,,No,20.07 cm (7.9 inch),"iPad Mini, Lightning to USB Cable, USB Power Adapter, User Manual, Warranty Card",2048 x 1536 Pixels,8 Megapixels,64 GB,,No Sim,1 Year Manufacturer Warranty for Device and In-box Accessories Including Battery from the Date of Purchase,Full HD,,"A12 Bionic Chip, 64-bit Architecture with Neural Engine and Embedded M12 Co-processor",,Built-in Stereo Speakers,,Yes,"Touch ID, 3-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",64 GB,,Yes,Yes,7 Megapixels,,Yes,Yes,Yes,,,No,No,Yes,Yes,v5.0,Lightning Connector,Safari,3.5 mm,802.11 a/b/g/n/ac,"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity","LED Backlit Multi Touch Display, Wide Color Display (P3), Fingerprint Resistant Oleophobic Coating True Tone Fully Laminated Display, Anti-reflective Coating, 500 nits Brightness, Supports Apple Pencil",,"AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX, and AAX+), Apple Lossless, AIFF, and WAV",Yes,Yes,Yes,"H.264, MPEG-4, M4V, MP4, MOV, M-JPEG, AVI",Yes,"A-GPS, GLONASS",Maps,,,No,1 Year,Carry In,,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,,326 PPI,,,,,,,APPLE
MYLC2HN/A,iPad (8th Gen),Gold,Wi-Fi Only,iPadOS,iPadOS 14 brings new capabilities designed specifically for iPad,,No,25.91 cm (10.2 inch),"iPad, Lightning to USB Type C Cable, USB Type C Power Adapter",2160 x 1620 Pixels,"8MP back camera, 1.2MP FaceTime HD front camera megapixels",32 GB,,No Sim,1 Year Limited Hardware Warranty,Full HD,,A12 Bionic chip with Neural Engine,,"Stereo Speakers, Audio and Video Calling (FaceTime Video): iPad to Any FaceTime Enabled Device Over Wi-Fi or Cellular, Dual Microphones for Calls, Video Recording and Audio Recording, Digital Compass, iBeacon Micro Location, Accessibility Features: Voice Control, Magnifier, Closed Captions, VoiceOver, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen",,Yes,"Touch ID, Three‐axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",32 GB,,Yes,Yes,1.2 Megapixels,"720P, 1080P pixels",Yes,Yes,Yes,Retina Flash,"Rear Camera: 8 MP Rear Camera Setup, f/2/4 Aperture, Five Element Lens, Hybrid IR Flter, Backside Illumination, Live Photos, Autofocus, Panorama (Upto 43MP), HDR for Photos, Exposure Control, Burst Mode, Tap to Focus, Timer Mode, Auto Image Stabilisation, Body and Face Detection, Photo Geotagging, Video Recording: Time-lapse Video with Stabilisation, Video Image Stabilisation, Body and Face Detection, 3x Video Zoom, Video Geotagging, Front Camera: 1.2MP Selfie Camera, f/2.4 Aperture, Retina Flash, Backside Illumination, Live Photos, 720p HD Video Recording, HDR for Photos and Videos, Body and Face Detection, Burst Mode, Exposure Control, Timer Mode",No,No,,,v4.2,"Yes, Lightning Connector",Safari,,802.11a/b/g/n/ac,"Simultaneous Dual Band (2.4 GHz and 5 GHz) Support, HT80 with MIMO","Full HD+ LED Backlit Multi Touch IPS Display (500 nits Brightness, Fingerprint-resistant Oleophobic Coating, Supports Apple Pencil (1st Gen))",IPS,"Video Formats Supported: H.264 Video Upto 4K, 30 fps, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, MPEG‑4 Video Upto 2.5 Mbps, 640x480 Pixels, 30 fps, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multichannel Audio, in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280x720 Pixels, 30 fps, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"Audio Formats Supported: AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",No,,Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,,264 PPI,,,,,,,TCL
9295G,10 TAB Max,Blue,Wi-Fi+4G,Android,10,4 GB,Yes,26.31 cm (10.36 inches),"Tablet, 5V2A Charger, USB-C Cable, Quick Guide, PSI, SIM Card Pin, Warranty Card",2000 x 1200 Pixels,13 Megapixels,64 GB,2 GHz,Single Sim,1 Year Manufacturer Warranty,Full HD,"GSM, WCDMA, LTE",Octa-Core: 4 x Cortex-A73 at 2.0 GHz + 4 x Cortex-A53 at 2.0 GHz,TAB 10 MAX,,Nano Sim,10 Touch Points,"Accelerometer (G sensor), Hall Switch Sensor, Proximity Sensor, Light Sensors, GPS/Glonass/Galileo/BDS with A-GPS",,8000 mAH,,,8 Megapixels,,Yes,Yes,Yes,LED,,Yes,Yes,,,v5.0,Type C with OTG,,,"802.11a/b/g/n/ac, Wi-Fi Direct, Wi-Fi Display",Type C Audio Jack,NXTVISION,IPS,,,,,"AAC LC, HE-AACv1 (AAC+), HE-AACv2 (enhanced AAC+), AAC ELD (enhanced low delay AAC), AMR-NB, AMR-WB, FLAC, MP3, MIDI, Vorbis, PCM/WAVE",Yes,,,256 GB,Micro SD,Yes,,Warranty will be provided through authorised after Sales service centre,1 Year,Manufacturing defects,Physical and Liquid Damage,,4G VoLTE,Lithium-ion,Capacitive,,"8000mAh, 9V2A, Type-C",,,,,,TCL
